Kund,customer_id,canonical_root,brand
"Acnespecialisten",132,"acnespecialisten.se","acnespecialisten.se"
"Aerius Ventilation",,"",""
"4him4her",193,"4him4her.com","4him4her.com"
"Cdbilvård",,"",""
"A Retro Tale",,"",""
"Dryft",164,"dryft.se","dryft.se"
"Ekström & Garay",,"",""
"Arctic",12,"arctic.se","arctic.se"
"Bergets-Ro",,"",""
"OptiOne",,"",""
"Optitech Sverige",,"",""
"Bethard",117,"bethard.com","bethard.com"
"Chattanoogarehab",140,"chattanoogarehab.com","chattanoogarehab.com"
"Seniorabatt",,"",""
"Cherry",110,"cherry.com","cherry.com"
"comfydence.se",197,"comfydence.se","comfydence.se"
"Crystal Beverage Company",,"",""
"D-Bet",,"",""
"Discountsover60",,"",""
"Distansinstitutet",36,"distansinstitutet.se","distansinstitutet.se"
"Epidemic Sounds",,"",""
"Fair Investments",,"",""
"Flax Casino",,"",""
"Hajper.com",134,"hajper.com","hajper.com"
"Vardagsfrid",155,"vardagsfrid.se","vardagsfrid.se"
"Happy Casino",,"",""
"Himala.ai",115,"himala.ai","himala.ai"
"Jakt.se",209,"jakt.se","jakt.se"
"Indoorprofessional",192,"indoorprofessional.se","indoorprofessional.se"
"Kelleher International",,"",""
"Kleer",129,"kleer.se","kleer.se"
"Kungaslottet",188,"kungaslottet.se","kungaslottet.se"
"KvarnX",107,"kvarnx.com","kvarnx.com"
"Lansfast",18,"lansfast.se","lansfast.se"
"Jour Eliten",,"",""
"Coface",135,"coface","coface"
"Cateringfabriken.se",143,"cateringfabriken.se","cateringfabriken.se"
"Casinogringo",151,"casinogringos.se","casinogringos.se"
"Låsjouren",,"",""
"Rörjour247",,"",""
"Leaptodigital",175,"Leaptodigital","Leaptodigital"
"Leovegas",,"",""
"Lilla-Världen",,"",""
"LSB",100,"lsb.se","lsb.se"
"Oljedroppen.se",,"",""
"Lucky Casino",,"",""
"Pontech",24,"pontech","pontech"
"Pontonhamnar",66,"pontonhamnar.se","pontonhamnar.se"
"Snuset",118,"snuset.se","snuset.se"
"Nettotobak",113,"nettotobak.com","nettotobak.com"
"Mäklarringen",,"",""
"Tiger Of Sweden",,"",""
"Upplevelse.com",131,"upplevelse.com","upplevelse.com"
"Megariches",190,"megariches.com","megariches.com"
"Svenskafonster",156,"svenskafonster.se","svenskafonster.se"
"Mockfjärds",,"",""
"Petster.se",150,"petster.se","petster.se"
"Ataraxia",163,"ataraxiavardcentral.se","ataraxiavardcentral.se"
"CDG",68,"cdg.io","cdg.io"
"Merchoteket",196,"merchoteket.se","merchoteket.se"
"MrNicco",94,"mrnicco.com","mrnicco.com"
"Nodeposit",123,"nodepositbonus.cc","nodepositbonus.cc"
"Michaelofrisorerna",139,"michaelofrisorerna.se","michaelofrisorerna.se"
"Kamux",72,"kamux.fi","kamux.fi"
"Minifinder",183,"Minifinder.se","Minifinder.se"
"MrVegas",189,"mrvegas.com","mrvegas.com"
"Clearfuze",153,"clearfuze.com","clearfuze.com"
"Racha Organics, Inc",,"",""
"MyNicco (US)",,"",""
"Nbi Nordic Beauty Import Oy",,"",""
"Nordic Knots",,"",""
"NorthTracker",200,"northtracker.com","northtracker.com"
"Socialcatfish",,"",""
"Mobot",98,"mobot.com","mobot.com"
"Bettingsyndikatet",202,"Bettingsyndikatet","Bettingsyndikatet"
"Purakliniken",105,"purakliniken.se","purakliniken.se"
"Rusta",114,"rusta.se","rusta.se"
"SvenskIPTV",157,"svenskiptv.com","svenskiptv.com"
"Säkra rör AB",,"",""
"Sesec",166,"sesec.se","sesec.se"
"Glassfactory",168,"glassfactory.fi","glassfactory.fi"
"Spelklubben",64,"spelklubben.se","spelklubben.se"
"Tandea (Haninge)",,"",""
"Standupsverige",,"",""
"Startmotor",90,"startmotor.se","startmotor.se"
"Flygbussarna",167,"flygbussarna.se","flygbussarna.se"
"Bus4You",170,"bus4you.se","bus4you.se"
"Ekonomico",182,"ekonomico.se","ekonomico.se"
"Sthlm Physique",,"",""
"Invozio",181,"Invozio","Invozio"
"Stockholm Rör & VVS",,"",""
"Striveon",195,"joinstriveon.com","joinstriveon.com"
"Supernormal",133,"supernormal.health","supernormal.health"
"Sweden Longstay",,"",""
"Swedoffice",13,"swedoffice","swedoffice"
"Tandea",44,"tandea.se","tandea.se"
"Tandlakare.se",,"",""
"Zmarta Finland",,"",""
"Bokahandyman",,"",""
"Flyttgaranti",,"",""
"Snickare.online",,"",""
"Technobark",165,"technobark.com","technobark.com"
"Technomeow",,"",""
"Tiotak",20,"tiotak.se","tiotak.se"
"TKW",161,"tkw.se","tkw.se"
"Tryggbil",31,"Tryggbil","Tryggbil"
"Turner.fi",194,"turner.fi","turner.fi"
"Videoslots",116,"videoslots.com","videoslots.com"
"Villasandudden.se",,"",""
"Violamilano",198,"Violamilano.com","Violamilano.com"
"Wellio",178,"wellio.se","wellio.se"
"Willabgarden",177,"willabgarden.de","willabgarden.de"
"Yourgild",186,"yourgild.com","yourgild.com"
"Zmarta Sverige",,"",""
"T2H Rakkenus",,"",""
"Lessworries.com",,"",""
"Vera&John",,"",""
"Florister I Sverige",,"",""
"Mynt.com",,"",""
