id,customer_id,pub_page_url,pub_domain,target_url,target_domain,anchor_text,link_type,language,published_at,topic_tags,context_excerpt,anchor_type,created_at
1703,117,https://www.kingsizemag.se/okategoriserat/guldstriden-i-fotbollsallsvenskan-vilka-lag-star-starkast-infor-hostsasongen/,kingsizemag.se,https://www.bethard.com/sv/sports,bethard.com,odds på Allsvenskan,Artikel,SE,2024-08-21 00:00:00,,,,2025-10-28 15:45:22
1704,117,https://www.djungeltrumman.se/bettingguide-en-introduktion-till-varlden-av-sportsbetting/,djungeltrumman.se,https://www.bethard.com/sv/sports,bethard.com,Betting,Artikel,SE,2024-08-21 00:00:00,,,,2025-10-28 15:45:22
1705,117,https://www.nojesnytthelsingborg.se/2024/08/22/helsingborgs-if-chanser-till-allsvenskt-avancemang-i-host/,nojesnytthelsingborg.se,https://www.bethard.com/sv/sports/live/fotboll,bethard.com,Oddsen ser hyfsade ut,Artikel,SE,2024-08-21 00:00:00,,,,2025-10-28 15:45:22
1723,117,https://hazard.se/betting/proffsens-bettingstrategi-sa-betar-de-basta/,hazard.se,https://www.bethard.com/sv/sports,bethard.com,Bethard,Artikel,SE,2024-08-22 00:00:00,,,,2025-10-28 15:45:22
1724,117,https://casinoviking.io/sv/blogg/en-djupgaende-recension-av-bethard-en-komplett-spelupplevelse/,casinoviking.io,https://www.bethard.com/sv/,bethard.com,Bethard.com,Artikel,SE,2024-08-22 00:00:00,,,,2025-10-28 15:45:22
1771,117,https://www.executiveeffect.se/hur-ai-omformar-bettingbranschen-en-titt-pa-framtiden/,executiveeffect.se,https://www.bethard.com/sv,bethard.com,bethard,Artikel,SE,2024-09-02 00:00:00,,,,2025-10-28 15:45:22
1856,117,https://eventeffect.se/digitaliseringens-paverkan-pa-evenemangsindustrin-mellan-det-fysiska-och-det-virtuella/,eventeffect.se,https://www.bethard.com/sv/sports/live,bethard.com,livebetting på sport,Artikel,SE,2024-09-13 00:00:00,,,,2025-10-28 15:45:22
1857,117,https://www.totallyorebro.se/uncategorized/orebro-hockey-senaste-nytt-infor-den-nya-sasongen/,totallyorebro.se,https://www.bethard.com/sv,bethard.com,Odds på SHL,Artikel,SE,2024-09-13 00:00:00,,,,2025-10-28 15:45:22
1858,117,https://www.sportochfritidsnyheter.se/20241001/3994/5-tips-dig-som-inte-vill-missa-ett-enda-sportevenemang,sportochfritidsnyheter.se,https://www.bethard.com/sv/sports,bethard.com,på bethard.com/sv/sports,Artikel,SE,2024-09-13 00:00:00,,,,2025-10-28 15:45:22
1974,117,https://webbkrysset.se/blogg/bettingslang-vad-betyder-orden-egentligen/,webbkrysset.se,https://www.bethard.com/sv/sports,bethard.com,Online betting,Artikel,SE,2024-09-30 00:00:00,,,,2025-10-28 15:45:22
1975,117,https://filmeye.se/recension-focus-med-will-smith-och-margot-robbie/,filmeye.se,https://www.bethard.com/sv/sports,bethard.com,Betting,Artikel,SE,2024-09-30 00:00:00,,,,2025-10-28 15:45:22
2022,117,https://spelguiden.net/betting/bethard-valkomstbonus-for-nya-spelare/,spelguiden.net,https://www.bethard.com/sv/promotions,bethard.com,Bethard välkomstbonusar,Artikel,SE,2024-10-08 00:00:00,,,,2025-10-28 15:45:22
2023,117,https://www.procup.se/Ta-din-turnering-till-nasta-niva-med-ProCup.htm,procup.se,https://www.bethard.com/sv/sports,bethard.com,"Bethard + statistik partial (i kontext att där finns den typen av statistik också tillgänglig. Länk till bethards sida där länken till statistiken finns, ligger ej på deras domän)",Artikel,SE,2024-10-08 00:00:00,,,,2025-10-28 15:45:22
2024,117,https://ng.se/artiklar/dreamhack-stockholm-gar-snart-av-stapeln,ng.se,https://www.bethard.com/sv/sports/esports,bethard.com,betting på esport (partial),Artikel,SE,2024-10-08 00:00:00,,,,2025-10-28 15:45:22
2025,117,https://www.sportochfritidsnyheter.se/20241029/4030/yalla-cup-gar-snart-av-stapeln,sportochfritidsnyheter.se,https://www.bethard.com/sv/sports,bethard.com,odds på e-sport,Artikel,SE,2024-10-08 00:00:00,,,,2025-10-28 15:45:22
2028,117,https://www.kolla.tv/artikel/sport-pa-tv-och-betting-fran-tipsextra-till-livesandningar-pa-spelsajter,kolla.tv,https://www.bethard.com/sv/sports,bethard.com,odds och betting,Artikel,SE,2024-10-15 00:00:00,,,,2025-10-28 15:45:22
2330,117,https://www.executiveeffect.se/strikt-reglerade-branscher-strategier-for-effektiv-efterlevnad/,executiveeffect.se,https://www.bethard.com/sv/sports,bethard.com,Bethard,Artikel,SE,2024-11-29 00:00:00,,,,2025-10-28 15:45:22
2331,117,https://www.totallyorebro.se/uncategorized/framtidens-casinospel-hur-teknologi-och-marknadstrender-formar-branschen/,totallyorebro.se,https://www.bethard.com/sv/sports,bethard.com,bethard och betbuilder,Artikel,SE,2024-11-29 00:00:00,,,,2025-10-28 15:45:22
2332,117,https://www.dagensnaringsliv.se/20241203/274991/vad-ar-gamification-spelifiering-och-hur-forandrar-det-foretagsvarlden,dagensnaringsliv.se,https://www.bethard.com/sv/sports,bethard.com,onlinecasinon,Artikel,SE,2024-11-29 00:00:00,,,,2025-10-28 15:45:22
2350,117,https://filmparadiset.se/2024/11/20/klassiska-filmer-gambling-och-vad-som-utmarker-dem/,filmparadiset.se,https://www.bethard.com/sv/sports,bethard.com,Betting partial,Artikel,SE,2024-12-02 00:00:00,,,,2025-10-28 15:45:22
2371,117,https://ledarsidorna.se/donald-trumps-seger-och-bettingens-betydelse-hur-politisk-betting-speglade-och-paverkade-valet/,ledarsidorna.se,https://www.bethard.com/sv/sports,bethard.com,betting eller odds partial,Artikel,SE,2024-12-06 00:00:00,,,,2025-10-28 15:45:22
2445,117,https://stryktips.nu/julens-hemliga-fotbollsfest-tre-stryktipsomgangar-pa-nio-dagar/,stryktips.nu,https://www.bethard.com/sv/sports,bethard.com,bra odds,Artikel,SE,2024-12-19 00:00:00,,,,2025-10-28 15:45:22
2446,117,https://www.saleseffect.se/att-salja-och-kopa-i-en-digital-era/,saleseffect.se,https://www.bethard.com/sv/sports/live,bethard.com,sportsbetting,Artikel,SE,2024-12-19 00:00:00,,,,2025-10-28 15:45:22
2480,117,https://www.lfc.se/nyheter/58349/stora-boxing-day-matcher-att-betta-pa,lfc.se,https://www.bethard.com/sv/sports,bethard.com,en spelsida som erbjuder betting online,Artikel,SE,2024-12-26 00:00:00,,,,2025-10-28 15:45:22
2555,117,https://www.sportfack.se/annons/20250103/trenderna-som-driver-spelindustrin-framat-nar-vi-kliver-in-i-2025/,sportfack.se,https://www.bethard.com/sv/sports,bethard.com,bethard,Artikel,SE,2025-01-03 00:00:00,,,,2025-10-28 15:45:22
2624,117,https://fragbite.se/all/news/56952/4-league-of-legends-tavlingar-du-kan-betta-pa-i-var,fragbite.se,https://www.bethard.com/sv/sports,bethard.com,Betting,Artikel,SE,2025-01-21 00:00:00,,,,2025-10-28 15:45:22
2707,117,https://www.lokaltidningen.nu/2025-01-27/travlopp-att-se-fram-emot-i-februari-2025-7af22,lokaltidningen.nu,https://www.bethard.com/sv/sports,bethard.com,tips och odds,Artikel,SE,2025-01-27 00:00:00,,,,2025-10-28 15:45:22
2718,117,https://www.mellanbygden.nu/2025-01-28/spannande-travlopp-att-se-fram-emot-varen-2025-7e0c4,mellanbygden.nu,https://www.bethard.com/sv/sports,bethard.com,bethard,Artikel,SE,2025-01-28 00:00:00,,,,2025-10-28 15:45:22
2739,117,https://www.nordsverige.se/2025-01-31/upplev-sport-pa-hog-niva-under-februari-med-betting-7bcaf,nordsverige.se,https://www.bethard.com/sv/sports,bethard.com,spela och betta online,Artikel,SE,2025-01-31 00:00:00,,,,2025-10-28 15:45:22
2745,117,https://www.totallyorebro.se/uncategorized/6-satt-att-trotsa-vintermorkret-i-orebro/,totallyorebro.se,https://www.bethard.com/sv/sports,bethard.com,betta på sport,Artikel,SE,2025-02-03 00:00:00,,,,2025-10-28 15:45:22
2877,117,https://varmlandsbygden.se/partner/affarsideerna-som-kraver-storst-kapital/,varmlandsbygden.se,bethard.com/sv/sports,bethard.com,Bethard,Artikel,SE,2025-02-25 00:00:00,,,,2025-10-28 15:45:22
2878,117,https://www.totallystockholm.se/spelets-sista-utpost-sa-slinker-du-in-pa-sveriges-enda-casino/,totallystockholm.se,bethard.com/sv/sports,bethard.com,Betting partial,Artikel,SE,2025-02-25 00:00:00,,,,2025-10-28 15:45:22
2929,117,https://passioneffect.se/otur-i-karlek-och-tur-i-spel-kan-det-verkligen-stamma/,passioneffect.se,bethard.com/sv/sports,bethard.com,Brand exakt,Artikel,SE,2025-02-28 00:00:00,,,,2025-10-28 15:45:22
2947,117,https://ng.se/artiklar/att-landa-i-en-storvinst-eufori-eller-forvirring,ng.se,bethard.com/sv/sports,bethard.com,odds partial,Artikel,SE,2025-03-03 00:00:00,,,,2025-10-28 15:45:22
3108,117,https://www.hippson.se/gastrum/hur-fungerar-betting-pa-ridsport-en-guide-for-nyborjaren,hippson.se,bethard.com/sv/sports,bethard.com,Betta på sport,Artikel,SE,2025-03-31 00:00:00,,,,2025-10-28 15:45:22
3122,117,https://alltomnorrtalje.se/bkv-norrtalje-kommer-laget-nagonsin-ta-sig-till-de-hogre-divisionerna/,alltomnorrtalje.se,bethard.com/sv/sports,bethard.com,betting på fotboll,Artikel,SE,2025-04-02 00:00:00,,,,2025-10-28 15:45:22
3208,117,https://www.gulavaggen.nu/nyhet/sa-maximerar-du-din-betting-infor-champions-league-finalen/,gulavaggen.nu,https://www.bethard.com/sv/sports,bethard.com,sportsbetting,Artikel,SE,2025-04-22 00:00:00,,,,2025-10-28 15:45:22
3212,117,https://finest.se/betta-pa-e-sport-sa-hinner-du-med-oddsen-i-cs2/,finest.se,https://www.bethard.com/sv/sports,bethard.com,sportsbetting och esportbetting,Artikel,SE,2025-04-24 00:00:00,,,,2025-10-28 15:45:22
3319,117,https://lindenytt.com/extra/lindlovens-if-tar-sikte-mot-framtiden-med-hockeyettan-play/,lindenytt.com,bethard.com/sv/sports,bethard.com,bethard sportsbook,Artikel,SE,2025-05-07 00:00:00,,,,2025-10-28 15:45:22
3326,117,https://www.orderhero.se/hur-mycket-ater-fotbollsspelare/,orderhero.se,https://www.bethard.com/sv/sports,bethard.com,betting,Artikel,SE,2025-05-12 00:00:00,,,,2025-10-28 15:45:22
3422,117,https://betting-tips.nu/hur-vet-man-vad-som-ar-ett-bra-odds/,betting-tips.nu,https://www.bethard.com/sv/sports,bethard.com,livebetting,Artikel,SE,2025-05-27 00:00:00,,,,2025-10-28 15:45:22
3433,117,https://www.allsvenskantabell.se/vi-verkar-slippa-annu-ett-malmo-guld/,allsvenskantabell.se,https://www.bethard.com/sv/sports,bethard.com,odds på allsvenskan,Artikel,SE,2025-05-27 00:00:00,,,,2025-10-28 15:45:22
3467,117,https://www.borskollen.se/tjana-pengar-snabbt,borskollen.se,https://www.bethard.com/sv/sports,bethard.com,sportsbook odds,Artikel,SE,2025-05-30 00:00:00,,,,2025-10-28 15:45:22
3627,117,https://www.formel1.se/upptack-varlden-av-f1-betting/,formel1.se,https://www.bethard.com/sv/sports,bethard.com,betta på F1,Artikel,SE,2025-06-25 00:00:00,,,,2025-10-28 15:45:22
3683,117,https://www.tidningen.se/annons/de-svaraste-sporterna-att-betta-pa/,tidningen.se,https://www.bethard.com/sv/sports,bethard.com,livebetting,Artikel,SE,2025-06-30 00:00:00,,,,2025-10-28 15:45:22
3737,117,https://bettingsyndikatet.se/speltips/uncategorized/upptack-unika-satt-att-betta-pa-ditt-favoritfotbollslag/,bettingsyndikatet.se,https://www.bethard.com/sv/sports/fotboll?tab=liveAndUpcoming,bethard.com,betta på fotboll,Artikel,SE,2025-07-11 00:00:00,,,,2025-10-28 15:45:22
3769,117,https://tipsmedoss.com/2025/ovrigt/nar-siffrorna-blir-din-basta-van-sa-analyseras-dagens-matcher/,tipsmedoss.com,https://www.bethard.com/sv/sports,bethard.com,odds + betting (i en mening),Artikel,SE,2025-07-28 00:00:00,,,,2025-10-28 15:45:22
3780,117,https://skanesport.se/2025/07/28/generationsskiftet-pa-laktaren-hur-fotbollskulturen-forandras/,skanesport.se,https://www.bethard.com/sv/sports/fotboll,bethard.com,betting och fotboll,Artikel,SE,2025-07-28 00:00:00,,,,2025-10-28 15:45:22
3791,117,https://alxmedia.se/aktuellt/em-fotboll-damer/,alxmedia.se,https://www.bethard.com/sv/sports,bethard.com,betting hos Bethard,Artikel,SE,2025-07-29 00:00:00,,,,2025-10-28 15:45:22
3999,117,https://www.battrestadsdel.se/samarbete-2/siffror-sportdata-och-kvarterskultur/,battrestadsdel.se,https://www.bethard.com/sv/sports,bethard.com,betting på sport hos Bethard,Artikel,SE,2025-09-01 00:00:00,,,,2025-10-28 15:45:22
4599,117,https://www.fotbollsem.net/derbyt-i-norra-london-satter-tempen-pa-premier-league-2025-26/.,fotbollsem.net,https://www.bethard.com/sv/sports,bethard.com,liveodds,Artikel,SE,2025-09-15 00:00:00,,,,2025-10-28 15:45:22
4641,117,https://influencereffect.se/algoritmen-alskar-sport-sa-jobbar-kreatorer-med-tempo-takt-och-ton/,influencereffect.se,https://www.bethard.com/sv/sports,bethard.com,[brand] + betting,Artikel,SE,2025-09-23 00:00:00,,,,2025-10-28 15:45:22
4674,117,https://esportare.se/ovrigt/designens-omen-siffror-tecken-och-sma-ritualer-i-var-visuella-kultur,esportare.se,https://www.bethard.com/sv/sports,bethard.com,betta på esport,Artikel,SE,2025-09-29 00:00:00,,,,2025-10-28 15:45:22
4704,117,https://spellabbet.se/fran-fotbollsplan-till-digital-arena-sportens-digitala-revolution/,spellabbet.se,https://www.bethard.com/sv/sports,bethard.com,Betting på esport,Artikel,SE,2025-09-30 00:00:00,,,,2025-10-28 15:45:22
4707,117,https://ljudia.se/artiklar/gemenskap/,ljudia.se,https://www.bethard.com/sv/sports,bethard.com,Betting,Artikel,SE,2025-09-30 00:00:00,,,,2025-10-28 15:45:22
4758,117,https://xn--golfptv-ixa.se/blogg/s-byggs-dramat-i-sandning-frn-storfavorit-till-sondagsskrall/,xn--golfptv-ixa.se,https://www.bethard.com/sv/sports/golf,bethard.com,golf betting,Artikel,SE,2025-10-06 00:00:00,,,,2025-10-28 15:45:22
